gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000153814.11,JAZF1,-6.290576698554118,-1.298701834073113,3.1628872767055163e-10,0.0015515533486866045,0.041924679966601236,0.0080197153374889,NA,6,6,6,1.5137855887344145e-05,5.474162700485506e-30,-11.37651862583445
ENSG00000237541.3,HLA-DQA2,1.816649219544989,0.13311792737963954,0.06927084183414477,0.10264207226578992,0.5589687489430489,4.10045956645391e-35,NA,46,57,57,0.00017568311001319692,2.0788399942151075e-21,9.50100012979192
ENSG00000157823.16,AP3S2,4.717897701898035,0.17786491399518853,2.382942561263707e-06,0.05809679306498612,0.4717218208690762,2.881461231877221e-27,NA,13,14,14,1.782004825041602e-05,1.5398034729137437e-19,9.041894010479433
ENSG00000179344.16,HLA-DQB1,-1.6052147244272033,-0.1935452226494593,0.10844655813765157,0.03583608623957607,0.4772798949957641,2.7630520919140677e-27,NA,50,61,61,0.0001579089793613633,1.5168327527701994e-15,-7.975566648656344
ENSG00000140382.14,HMG20A,2.6309931603676575,0.3026507508498272,0.008513574935376468,0.012555974457154631,0.06545424616459883,0.000604622025270601,NA,80,89,89,5.3479475980508663e-05,2.7317541825763818e-15,7.902586142527418
ENSG00000011523.13,CEP68,3.0050893160382426,0.3097209202060864,0.0026550287251845515,0.011878505774581277,0.17139870486319486,9.592063089610632e-09,NA,34,36,36,3.754516472877801e-05,1.0037858363852506e-14,7.73877582946433
ENSG00000196735.11,HLA-DQA1,-1.6982711389398153,-0.2226977283524553,0.08945659928377013,0.024257758323795165,0.22255753659413535,3.2014700264254356e-11,NA,39,47,47,0.00011686904483355411,2.6608888314519634e-13,-7.310530932870895
ENSG00000205693.3,MANSC4,-3.4042093654704013,-0.17902593184109428,0.000663558720681717,0.03319920248835545,0.0945748103926134,3.22555945921065e-05,NA,36,41,41,2.37938246607545e-05,3.422601116294661e-13,-7.276630858252405
ENSG00000203760.8,CENPW,-2.239914604448638,-0.3611825877788397,0.02509646732672187,0.007921050321059648,0.08526045183434454,0.00010468653514962552,NA,20,25,25,6.15581933788399e-05,7.748526100063464e-13,-7.165531634176736
ENSG00000149084.12,HSD17B12,-2.398634868437632,-0.09173599184628548,0.016456315061713234,0.09121626915683394,0.4454660002878045,8.025713185416567e-25,NA,74,82,82,4.132631868379851e-05,1.2287123769660697e-10,-6.4357424363094085
