gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000196126.11,HLA-DRB1,-1.5033423838392792,-0.23169083419306274,0.13275077584834616,0.03108726618585366,0.3859492818522217,1.5759925115964458e-21,NA,29,35,35,0.00023011215293820513,3.2669238888126567e-19,-8.959318107922417
ENSG00000237541.3,HLA-DQA2,1.5003964020839933,0.1469900140005666,0.1335117509722286,0.07041495841786169,0.4629348980198836,2.251746880807428e-27,NA,14,23,23,0.00019358932221497996,1.9803302551439804e-16,8.223267162066668
ENSG00000179344.16,HLA-DQB1,-1.426233295718945,-0.09171486112208325,0.15380101170451682,0.13886200355646885,0.4318012146183446,1.1125227047334546e-25,NA,70,83,83,0.00020016838245635825,1.9550288685758256e-15,-7.944165210235296
ENSG00000157823.16,AP3S2,4.200857491779681,0.15915982541876386,2.659059346327426e-05,0.04283215401901033,0.2676610993029959,9.235449164723317e-14,NA,41,44,44,1.6804257960111744e-05,3.2160924590629868e-15,7.8822222798246555
ENSG00000050820.16,BCAR1,-4.7796801330037395,-0.5163582279703395,1.7557430402152203e-06,0.005425929810306563,0.08490478978851304,0.00010389342954601867,NA,20,24,24,1.1222390219449628e-05,4.895221077126258e-15,-7.8295749475669
ENSG00000166965.12,RCCD1,3.6394024030401755,0.164272470548194,0.0002732714827625005,0.04868510553929206,0.3318670050151778,1.7034346738633408e-17,NA,12,13,13,2.0194822011924183e-05,2.7655568864498005e-13,7.305345258007139
ENSG00000198502.5,HLA-DRB5,-1.1741873194225214,-0.09890035259598824,0.2403200040322414,0.09473658725827155,0.6445796105995136,1.3694764043550702e-47,NA,28,35,35,0.00024272868674776125,6.885041348019119e-13,-7.18169892262908
ENSG00000119913.4,TECTB,-4.303533186442874,-0.07656408966208357,1.680956551416939e-05,0.20464396847853122,0.2756469860056539,2.5387713429944214e-14,NA,120,136,136,1.1481074763476533e-05,1.24407180220043e-12,-7.100387933415596
ENSG00000149084.12,HSD17B12,-2.377212819161867,-0.10413515323815435,0.017444020409766697,0.08743039797979747,0.49974266341927503,1.426085128312951e-31,NA,74,87,87,4.986570065800596e-05,4.437760242901036e-12,-6.9224890769939496
ENSG00000244731.7,C4A,-0.8244532766654972,-0.14399691843793694,0.4096820536278195,0.04133232788456048,0.24147731478111764,2.9248314479995463e-12,NA,54,65,65,0.00044678074589981015,1.0500381438045027e-11,-6.7994712524436505
ENSG00000204536.13,CCHCR1,0.9510969926088254,0.5054707657644806,0.34155514125969244,0.0032617480064230536,0.038227589710082326,0.009975160859894808,NA,13,14,14,0.00032923511111857565,1.46696220595366e-11,6.751131838787271
ENSG00000159199.13,ATP5G1,2.190874154639082,0.48706932351904714,0.028460900512373995,0.003578351056083446,0.07911251467728346,0.0001375309851767071,NA,7,7,7,5.656355960809688e-05,1.5069567241958854e-11,6.747228678587871
ENSG00000152359.14,POC5,-2.166666797713213,-0.31399847013929955,0.03026027002093395,0.008498558487505387,0.08772369945412316,4.411107153747826e-05,NA,11,16,16,5.6365891581404605e-05,2.6968652596189627e-11,-6.662239248341837
ENSG00000103932.11,RPAP1,-2.011992656929953,-0.13313326686163726,0.04422071105508479,0.05102604213702859,0.4109386485084858,9.116491660413254e-24,NA,19,23,23,6.374367926744297e-05,6.206305692035961e-11,-6.538682653032683
ENSG00000082438.15,COBLL1,-2.5893868645022065,-0.7347389587765664,0.009614701065289511,0.001710283938904599,0.0618511721266062,0.0007953096775462548,NA,3,3,3,3.563546312290406e-05,6.90786121176679e-11,-6.52264416561848
ENSG00000078747.14,ITCH,1.3579210851607162,0.7963909678866803,0.17448872603399945,0.0013245241796872578,0.07281672505913507,0.00029554258780880254,NA,12,15,15,0.0001395078552291137,2.0370762706427017e-10,6.358519425863925
ENSG00000204290.10,BTNL2,-0.9989798293804477,-0.20721285579498178,0.3178044625413329,0.019662486945607342,0.06000288528834297,0.0010036210785428843,NA,13,18,18,0.0002609853677559521,2.455340110081803e-10,-6.32976553472639
ENSG00000157837.15,SPPL3,-1.919770378078157,-0.15301709079200282,0.05488691006399964,0.03408379938216349,0.3219643355245009,2.127688758822352e-17,NA,41,45,45,6.500413768223244e-05,3.0825351171682486e-10,-6.294569818455759
ENSG00000177710.5,SLC35G5,-0.9492514469614913,-0.10170271732953978,0.3424927412103125,0.0822727311963734,0.0436425606176374,0.005359313501665242,NA,39,42,42,0.0002813317687535389,4.4009498909126065e-10,-6.239100215703311
ENSG00000196735.11,HLA-DQA1,-1.1551322563039335,-0.38674621106696094,0.24803627086044222,0.005296438823120975,0.11665034885041042,3.6370311335060372e-06,NA,13,18,18,0.0001844645354369633,6.208322763061907e-10,-6.185048885625651
ENSG00000140400.16,MAN2C1,-2.1196281226981593,-0.1776787851109976,0.03403741889624763,0.02319282655481373,0.2882556400510213,4.5301780309605905e-15,NA,19,24,24,4.956813977850179e-05,7.45432237963325e-10,-6.1561317369448005
ENSG00000058404.19,CAMK2B,-3.8556359962233695,-0.3939612019689274,0.00011542913800022803,0.0046770543769100205,0.17204680447786938,1.1741444201776231e-08,NA,15,16,16,9.91667267899154e-06,1.194076925345731e-09,-6.081037052473897
ENSG00000179218.13,CALR,2.723583739391166,0.3654431648236821,0.006457784212684725,0.0057278945083704905,0.11829896145924612,2.784582753042468e-06,NA,15,16,16,2.6294380978838466e-05,1.3953592138283588e-09,6.05601393315354
ENSG00000160957.12,RECQL4,2.848654332604481,0.1493226848818849,0.004390455334963034,0.04204207119240971,0.03401487021515478,0.015609047405634171,NA,69,87,87,2.3177084167270096e-05,1.6687488923755532e-09,6.027151187057549
ENSG00000119927.13,GPAM,-4.0197039048282965,-0.34451709392107904,5.8271330051643295e-05,0.006758774562908469,0.07272775572727072,0.00031924570069854016,NA,51,57,57,8.036359808989785e-06,2.378794111925406e-09,-5.969570188613881
ENSG00000163933.9,RFT1,-2.082677895540076,-0.06025090121716753,0.03728059361170226,0.2128706925241466,0.6050933281839801,4.41381896254952e-41,NA,17,20,20,4.717007393866909e-05,3.2501309533578625e-09,-5.918438193838919
ENSG00000243789.10,JMJD7,1.853596203713624,0.40810437748910866,0.06379695113343087,0.0043591470019461185,0.053451243920976124,0.0022291610612936953,NA,11,11,11,6.083306950599938e-05,3.67721188004068e-09,5.898095476980494
ENSG00000052850.5,ALX4,2.9390028174619793,0.3783406447401674,0.0032927008085693087,0.004944129925220609,0.064412532635334,0.0004654505794873485,NA,10,12,12,1.9566087731058955e-05,5.543172889439307e-09,5.829986895238528
ENSG00000159210.9,SNF8,1.96093226270753,0.20828888873348805,0.04988692517759004,0.013177647684150402,0.227709262556412,1.1603894764725427e-11,NA,26,28,28,5.1252388219867545e-05,7.475314011008004e-09,5.779881768186104
ENSG00000169592.14,INO80E,-1.706848145533064,-0.4083259738291108,0.08785028101567025,0.004070676138681827,0.11945594774900335,1.90219044734279e-06,NA,26,35,35,6.820874328436336e-05,1.0640775054902636e-08,-5.720185605276887
ENSG00000137802.13,MAPKBP1,-1.80717111702207,-0.2614453960062781,0.07073560285625176,0.009419447591481205,0.23337581813867864,3.815341350753348e-12,NA,30,34,34,5.760598308654811e-05,2.0089446816935526e-08,-5.6112292037034255
ENSG00000074755.14,ZZEF1,1.9966337725693213,0.6724217646491489,0.045864981297816736,0.0013270779533984523,0.06249562719721102,0.000705033050796901,NA,9,13,13,4.4545903865315216e-05,3.1316429117651495e-08,5.533913034241178
ENSG00000198169.8,ZNF251,1.9280288140980344,0.2950713668632392,0.05385154226824386,0.007083621353449942,0.1489357327461157,8.764420444066657e-08,NA,13,17,17,4.7745860103367805e-05,3.625502403454599e-08,5.508185993261499
ENSG00000105607.12,GCDH,-2.8011273141697934,-0.21275835833629606,0.00509244239945737,0.014701282193231668,0.5077608059323041,2.91398600325958e-31,NA,25,32,32,1.8805244663727277e-05,4.367298066092082e-08,-5.475316707850227
ENSG00000164078.12,MST1R,1.1154546965747467,0.1765234871545948,0.2646556218105063,0.020680460386482462,0.12093674753661612,2.4963654006524875e-06,NA,13,15,15,0.0001533278144412204,4.6422534108147216e-08,5.464495429532921
ENSG00000100395.14,L3MBTL2,1.525281674416946,0.5374547904607179,0.12718885658550302,0.0018677935027766918,0.03765120711580162,0.009391977818642849,NA,17,20,20,7.77709721597475e-05,5.689382628873422e-08,5.428298510479924
ENSG00000196378.11,ZNF34,1.8750572143878212,0.20676327438767841,0.06078485282338354,0.01452989400654509,0.15374872487277372,7.08618240905492e-08,NA,21,26,26,4.865272638449444e-05,6.615711772747818e-08,5.401306930333238
ENSG00000276073.1,RP5-1125A11.7,-1.4475508141871982,-0.18499008465877328,0.14774271544689088,0.01848665859427721,0.15035594965699206,4.3970407929537685e-08,NA,14,16,16,8.602664800039224e-05,6.752440506476981e-08,-5.397636746357
ENSG00000170703.15,TTLL6,-1.9437900739661742,-0.1128582806320692,0.051920771234894865,0.04323138870657271,0.21140976440609965,8.150770191416771e-11,NA,39,44,44,4.403313708339064e-05,8.303260516913483e-08,-5.360411481177143
ENSG00000075413.17,MARK3,-1.7720815300576465,-0.29203499834407165,0.07638102442624727,0.007096914194778542,0.0332863513968985,0.014750312384310212,NA,27,30,30,5.367290392609666e-05,9.752988013632958e-08,-5.3312670346327025
ENSG00000154319.14,FAM167A,-0.6395824316362883,-0.3525733400596609,0.5224441070910227,0.005053192214291944,0.032271025591984887,0.018769893979098173,NA,23,24,24,0.00045549335302941344,1.0082557022937645e-07,-5.325229655543302
ENSG00000204516.9,MICB,0.7209830012374345,0.12205483761345029,0.47091997344673253,0.03385914713255103,0.13878584656445392,9.843607636352025e-08,NA,30,33,33,0.00034905258521425816,1.3902857757259257e-07,5.266527303444144
ENSG00000156170.12,NDUFAF6,-1.8452371212026768,-0.26575140731002667,0.06500305277161667,0.007827690071616985,0.047923329144423835,0.0027275347225799995,NA,12,12,12,4.76068719663095e-05,1.4024944376883856e-07,-5.264921274449156
ENSG00000004534.14,RBM6,-1.1055873320913479,-0.09321306660562736,0.26890517534548897,0.06860880273038211,0.40603732721552266,1.2201219164404724e-22,NA,54,66,66,0.00014432561361377142,1.4282387602833601e-07,-5.261578513443611
ENSG00000175662.17,TOM1L2,-1.1161989990897991,-0.4339602882002908,0.26433696285232444,0.003036776483635367,0.11278207758964345,4.758595908777108e-06,NA,13,18,18,0.0001412293075094819,1.4616001310621206e-07,-5.2573323743449185
ENSG00000245532.7,NEAT1,2.0641469814051567,0.14007379470332132,0.039003782623517655,0.026771252002504846,0.11104728725182607,5.9768152616620014e-06,NA,28,35,35,3.6087618127903865e-05,1.7201845161560104e-07,5.227283700864219
ENSG00000198563.13,DDX39B,1.068158353760874,0.3080920672782282,0.2854490871060055,0.006248192138916164,0.06330606492369091,0.0008074089941348143,NA,28,33,33,0.00015280236152426601,1.7491363138642494e-07,5.224195787777797
ENSG00000108784.9,NAGLU,-2.5545455754844983,-0.4037673514520083,0.010632650911286241,0.0033496020312554814,0.10311301958955896,1.075784164675186e-05,NA,7,9,9,2.10231482931632e-05,1.9276602209656045e-07,-5.206181584112527
ENSG00000243708.10,PLA2G4B,1.843087024200767,0.1625328332864404,0.06531630555270196,0.020762980885165983,0.2392568792614662,4.353029294663429e-12,NA,46,55,55,4.638170336064669e-05,2.0026451189976768e-07,5.199091888919291
ENSG00000107679.14,PLEKHA1,2.248075637199735,0.8874644341436898,0.024571367286261973,0.0007380574754633062,0.026849339070921883,0.02496081958267544,NA,13,14,14,2.8445232052006956e-05,2.479861520845269e-07,5.159215945459028
ENSG00000204264.8,PSMB8,1.134123240033666,1.0303042111997809,0.2567428564374493,0.00048480579677045803,0.046151475568115885,0.004356859167050647,NA,6,6,6,0.00012968925142448456,2.910994616491526e-07,5.129120183323038
ENSG00000250790.4,RP11-46H11.3,2.219639728593067,0.19171092002301976,0.02644323316949375,0.01592968409184217,0.07231627323634061,0.00028721919379617964,NA,20,28,28,2.8820315834201655e-05,3.037699215510614e-07,5.121092910800772
ENSG00000015133.18,CCDC88C,2.207222659407102,0.1352215245659806,0.02729850745922877,0.029294610859691463,0.17368006942635109,7.314145529828729e-09,NA,41,45,45,2.8902004119611006e-05,3.427129882625907e-07,5.098302421092352
ENSG00000146477.5,SLC22A3,1.3325143566342863,0.11997878853092919,0.18269122700795615,0.038485399471116954,0.2715634866896825,1.4182874369582976e-14,NA,24,28,28,9.076962105736643e-05,3.50175730990647e-07,5.094222280479971
ENSG00000259584.1,RP11-521C20.2,-3.095542742241388,-0.1515606935467967,0.00196453056542106,0.0222749131868581,0.051868377871879486,0.0026355568180105016,NA,31,37,37,1.1250999950833588e-05,3.878029844007653e-07,-5.074849418713287
ENSG00000213221.4,DNLZ,3.5936497486846206,0.07684513346470241,0.00032607810138825266,0.08267288077467883,0.3399289101893593,1.1221575628732191e-18,NA,24,30,30,6.5341239727745845e-06,4.262050256433069e-07,5.05686486348548
ENSG00000205106.4,DKFZp779M0652,2.333641894191169,0.08841355475666372,0.01961448098431928,0.05795546184007936,0.2636174849257499,1.8888908665961648e-13,NA,49,58,58,2.44600429405629e-05,4.594736286925892e-07,5.0425062977377895
ENSG00000125743.10,SNRPD2,-2.9548098255259134,-0.5201398328665311,0.0031286183856735913,0.0019020363291260604,0.023164554030569936,0.044987761793987946,NA,13,14,14,1.2711230906661432e-05,4.7126788949128655e-07,-5.037655814007465
ENSG00000204531.17,POU5F1,1.259704310961181,0.07231793520337641,0.2077760496657528,0.09916213496300433,0.194750978243782,8.302629695465273e-10,NA,68,79,79,9.992191875701919e-05,4.729522787869884e-07,5.036972669750716
ENSG00000163634.11,THOC7,2.53941774186389,0.26592436230476874,0.011103715302205696,0.007040124741864452,0.08086349513404466,0.00010678666375843402,NA,30,32,32,1.938572113548556e-05,5.167201122634064e-07,5.019998023392567
