gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000237541.3,HLA-DQA2,1.9334803008497097,0.11192858300435655,0.05317705749975339,0.16756825644437587,0.5561257236461503,3.122738620796271e-35,NA,34,41,41,0.00018370098919926134,5.052708299708591e-25,10.33194206487771
ENSG00000157823.16,AP3S2,4.821803423069875,0.15713175964638695,1.4226611075166912e-06,0.065202147972288,0.37890808335882203,1.4629588017658933e-20,NA,19,23,23,1.769469818171659e-05,3.045416397797439e-20,9.217347022519398
ENSG00000232629.8,HLA-DQB2,1.5595013677359286,0.23955363327915588,0.11887776110527139,0.023044212117943896,0.363452024252502,5.800936314358586e-19,NA,18,26,26,0.0001751281621151777,3.833555163184294e-16,8.143707230469106
ENSG00000279873.2,LINC01126,-2.941185309267067,-0.5560569168098759,0.0032695887118803896,0.004299326058715514,0.02497438253941909,0.04008939423019325,NA,12,12,12,4.17803063700934e-05,2.2147276280879034e-15,-7.928688237586182
ENSG00000134250.19,NOTCH2,-3.6025553844807408,-0.2985482657892832,0.0003151042348630376,0.01185758157280579,0.1302627667498124,5.828197059378118e-07,NA,43,53,53,2.2258157057688374e-05,6.190884921140173e-14,-7.503979798831592
ENSG00000153814.11,JAZF1,-4.171291404409818,-0.18827918975006316,3.0287823934753476e-05,0.03469672461426507,0.12373345415405662,1.3198930252403084e-06,NA,33,36,36,1.4847515054013696e-05,6.711496827928164e-14,-7.493394139528263
ENSG00000179344.16,HLA-DQB1,-1.140528347875314,-0.13683713549646648,0.2540662494563073,0.05335514382986394,0.4318275005993277,1.4495441402443134e-24,NA,59,69,69,0.00023366902212995034,7.491354045145128e-12,-6.847954197306364
ENSG00000127324.8,TSPAN8,2.203730710171537,0.19648502553696437,0.027543288056144543,0.02625384189486672,0.15672493033276946,4.5754727744599404e-08,NA,27,32,32,5.6260368532468106e-05,1.2830978893213349e-11,6.770531899282504
ENSG00000196126.11,HLA-DRB1,-1.244977602161749,-0.2881134977809002,0.21313998343339025,0.011539176846380523,0.07425760707952428,0.00026152766894042796,NA,41,44,44,0.00018038989928913395,4.2617757214217356e-11,-6.594678780797471
ENSG00000206344.7,HCG27,1.1624984688100237,0.13618768984251364,0.24503304629236955,0.04923289763339578,0.22594158952656065,2.586152972781891e-11,NA,56,70,70,0.00020114690905539127,8.557893932139215e-11,6.490452510183619
ENSG00000105607.12,GCDH,2.804612715276138,0.6365694352821704,0.005037707015706104,0.002078376585527344,0.06921010059944341,0.00044400579538016513,NA,4,6,6,2.802494406565454e-05,1.576300326116634e-10,6.397801486533811
ENSG00000204310.12,AGPAT1,0.9722306272914382,0.12000959708138005,0.33093582705281976,0.056564772559799435,0.3243730735398049,5.312424197795013e-17,NA,27,30,30,0.00026771548204047174,4.453421588539881e-10,6.237245725331582
ENSG00000204516.9,MICB,0.9669546412744842,0.07145805356417848,0.33356670924492215,0.12619208376708568,0.3860990127274913,7.457337634374012e-21,NA,79,90,90,0.00026396697746710387,7.234260876984461e-10,6.160878223247844
ENSG00000161860.7,SYCE2,2.839840856140394,0.3104814960081578,0.004513604537608834,0.00745938276397165,0.1214239827050116,2.0474929936125096e-06,NA,10,13,13,2.441389223457592e-05,8.69206803549758e-10,6.131744390343398
ENSG00000245532.7,NEAT1,2.3056014218080554,0.12643286277200835,0.021132913772662458,0.04350378668476514,0.20568177452378625,4.291488706147986e-10,NA,25,30,30,3.876157596522207e-05,1.7597195088714145e-09,6.0185632528186135
ENSG00000182179.12,UBA7,-1.3902392778800798,-0.28643680549097955,0.16445622993371456,0.008796449498609093,0.08966991698776569,6.086410090909471e-05,NA,38,44,44,0.00011557026201563707,2.632599172798576e-09,-5.9530070719924275
ENSG00000221955.10,SLC12A8,-2.733233945899354,-0.08534662191367999,0.00627157686226475,0.10454794751851429,0.5290861639002807,9.996269396351815e-33,NA,36,41,41,2.4903490049353244e-05,2.7166927874011928e-09,-5.9478609133732085
ENSG00000152359.14,POC5,-2.079614686832826,-0.5139726712087638,0.037560888788229246,0.002325455206483821,0.05223010456038882,0.002626966641532713,NA,8,10,10,4.745739177199706e-05,3.1138270900674713e-09,-5.925481991295819
ENSG00000011523.13,CEP68,2.5683704204701185,0.17066354392873834,0.01021779054011219,0.02620245672780251,0.08392185646075959,6.873542860272755e-05,NA,37,37,37,2.8023978364988463e-05,4.661933354086078e-09,5.858810843124166
ENSG00000204348.9,DXO,0.9864631159863756,0.20450365856726654,0.32390590623479665,0.016775729438382833,0.20676653210815804,1.304147569775586e-10,NA,36,41,41,0.00021134485653659954,1.689365021995715e-08,5.641131266921559
ENSG00000149084.12,HSD17B12,-2.188132327484045,-0.2104110510363313,0.028659964722469237,0.01372388561128729,0.2220109446284464,3.3626964997564894e-11,NA,47,58,58,3.695880825767135e-05,2.175425448228305e-08,-5.597438052968324
ENSG00000206560.11,ANKRD28,-1.670036855995851,-1.2845738483101612,0.09491207183682297,0.0004160789305454023,0.04316428471243622,0.00715261543850832,NA,12,15,15,6.7304047094679e-05,2.6532138663059462e-08,-5.562904314730614
ENSG00000149922.10,TBX6,2.930077177799056,0.20873950221271512,0.00338877826360246,0.014459702789658833,0.0846259636969117,9.044813910691694e-05,NA,32,43,43,1.6454176433469487e-05,4.851868456604165e-08,5.456655331948729
ENSG00000198502.5,HLA-DRB5,-0.8343268300681945,-0.05933053531324153,0.4040968367808403,0.1715603551443596,0.6834185265160944,2.5074368754696283e-52,NA,36,40,40,0.00027595569210516895,5.562701814904056e-08,-5.4323169071905975
ENSG00000111328.6,CDK2AP1,1.6152121461631728,0.28691186794432944,0.10626476111349621,0.007951635051010729,0.13559734259422615,6.708326023473138e-07,NA,7,9,9,6.799963311331598e-05,6.462047067559428e-08,5.405520467771813
ENSG00000259203.1,RP11-209K10.2,-2.678304338051441,-0.3209360706226829,0.007399595042249647,0.0059045717355915165,0.07107083731381945,0.0003877804680625985,NA,12,13,13,1.995086750315193e-05,8.714539104883623e-08,-5.351671709273538
ENSG00000161016.17,RPL8,-1.8596973284801208,-0.20632437259617628,0.06292836022171001,0.01279194147006335,0.21209402234661448,1.5187054479680808e-10,NA,13,18,18,4.669578911454506e-05,1.4292043220304588e-07,-5.2614542774255995
ENSG00000146477.5,SLC22A3,-1.4364828207963247,-0.14479296583227208,0.15086500127455066,0.025029426944235406,0.19021928072479355,2.135197334060626e-09,NA,46,56,56,7.909918429005964e-05,2.572763897503475e-07,-5.15232519902252
ENSG00000256269.7,HMBS,2.118105972745023,0.17294707927866543,0.0341660938207219,0.016826669741435814,0.1606482459563684,2.0166349688502928e-08,NA,14,18,18,3.1053101535480276e-05,4.698613999696741e-07,5.038228056082751
ENSG00000062524.15,LTK,2.066327024671144,0.21424273681787287,0.038797611327575705,0.010720217897815368,0.08825067548699375,5.802425073343098e-05,NA,10,12,12,3.286249891332341e-05,4.864797240534781e-07,5.031569880081073
ENSG00000234745.10,HLA-B,0.8645409969593691,0.1542332098956552,0.3872907692286437,0.020999226487899255,0.148197830152741,1.7553859916592692e-07,NA,29,34,34,0.00021562216834798795,5.970224784476692e-07,4.992177826564831
ENSG00000140400.16,MAN2C1,-1.671234776325358,-0.08179054854574179,0.09467531372070269,0.07363039808160934,0.4491992319126205,4.324120734664434e-25,NA,41,45,45,5.174765832337098e-05,7.53621648309804e-07,-4.947009848941134
ENSG00000172803.17,SNX32,1.7762548691855171,0.18108959316450843,0.07569091819084312,0.01417899015943696,0.040957402166205165,0.008057588502109534,NA,17,22,22,4.495267092320745e-05,7.708007118319448e-07,4.942618888723614
ENSG00000150967.17,ABCB9,-1.4024589414745936,-0.12960624637718368,0.16077824303982668,0.031782103797128064,0.2911842050532638,3.983630881896881e-15,NA,30,37,37,7.472452492958695e-05,9.568042377390387e-07,-4.900320534615779
ENSG00000004534.14,RBM6,-0.956462498861345,-0.13450271638275635,0.33883862201583226,0.02730814321783969,0.21293681804300965,4.57445679843993e-11,NA,40,47,47,0.00016717158427889418,1.038922519104344e-06,-4.884119127661617
ENSG00000213722.8,DDAH2,-0.8571119387770207,-0.33238916175750444,0.39138302372519285,0.0044014346717442384,0.08230248626407312,0.00011117052321640188,NA,14,16,16,0.00020492499365782415,1.3741020990250504e-06,-4.828724716877025
ENSG00000166165.12,CKB,-1.3975901675163418,-0.13392273557273499,0.1622361726739029,0.027045510783705144,0.14404580304375886,6.875908217756809e-08,NA,22,24,24,7.236926775846827e-05,1.4932675945364903e-06,-4.812134553044476
ENSG00000276073.1,RP5-1125A11.7,-1.27529751015432,-0.16810980784883722,0.20220395868902652,0.015520348918770266,0.09309065103800354,5.342242168692527e-05,NA,14,16,16,8.624058888760353e-05,1.928059109503711e-06,-4.760822140759172
ENSG00000110665.11,C11orf21,-2.815243214919919,-0.30625794797726774,0.004874033120360887,0.004986176422494205,0.04781580246011002,0.00411684526773909,NA,29,36,36,1.2143987110857897e-05,2.25698800948582e-06,-4.728936637413141
ENSG00000159202.17,UBE2Z,-1.5235559067109605,-0.6231270772960439,0.1276196849413706,0.0012619257486786608,0.044982671824715006,0.004963900901707361,NA,9,12,12,5.727092354558295e-05,2.3786671574040474e-06,-4.71826312501886
ENSG00000119242.8,CCDC92,-1.8628348630517393,-0.18673783594304427,0.06248550339800856,0.013676307878855156,0.15200225843510565,1.0272095942045856e-07,NA,13,15,15,3.544671146521443e-05,2.841101460313719e-06,-4.681985093114073
ENSG00000158022.6,TRIM63,-1.6277517885030122,-0.12920780190803796,0.10357752701231852,0.02344524082270126,0.03368782912431438,0.01486277129562922,NA,19,20,20,4.802823938837659e-05,3.1258013598689158e-06,-4.662375533690991
ENSG00000103351.12,CLUAP1,2.1019975479034225,0.1408840352831474,0.03555349060425104,0.02305782001804545,0.16112162965002852,3.6121293974348505e-08,NA,12,13,13,2.5331360125498665e-05,4.122599712084101e-06,4.605103902988979
ENSG00000095485.16,CWF19L1,-1.5196660768424095,-0.07989865727771017,0.12859492160307912,0.06533811079082448,0.3175806897775819,1.1970346269364743e-16,NA,21,23,23,5.430243142515763e-05,4.313642643025861e-06,-4.595668390267452
ENSG00000090238.11,YPEL3,1.3740043141251694,0.4254099687863204,0.1694403431011534,0.0022099360485797704,0.06778438822416283,0.0005861472448239184,NA,18,21,21,6.732310836048164e-05,4.7077378791814215e-06,4.577407525313186
ENSG00000256053.7,APOPT1,-1.4144749136725465,-0.13420644777045412,0.15722250800080434,0.02163686916211446,0.13024946071559296,1.0816326373159133e-06,NA,19,21,21,6.205587646813794e-05,5.587985445931765e-06,-4.541407682120023
ENSG00000204540.10,PSORS1C1,0.897246748117993,0.07495698224744711,0.3695872650977977,0.07421042538044932,0.05360776892187824,0.002545794332645982,NA,71,82,82,0.00016382855089317063,5.693353083177582e-06,4.537468501431252
ENSG00000196378.11,ZNF34,1.6173143180696057,0.3158514462390121,0.10581045017194424,0.004485180250586501,0.12506223571961042,1.766920906262586e-06,NA,8,13,13,4.544410694937304e-05,6.133869482104067e-06,4.521721617039817
ENSG00000090612.20,ZNF268,1.7050855223256332,0.32865789248142696,0.08817847534899462,0.004154368561044456,0.033705493012096084,0.016150658060842912,NA,6,13,13,4.007747154310613e-05,6.33241573843451e-06,4.514975261842872
ENSG00000079739.15,PGM1,2.1606763238772437,0.4895818889991343,0.030720351054095093,0.001762175508278812,0.1122790875743838,6.777669425170576e-06,NA,5,5,5,2.212121866068789e-05,7.1244320373255495e-06,4.489936765709405
ENSG00000137806.8,NDUFAF1,-1.4214513429096636,-0.29143762877484014,0.15518558936053373,0.004807269976691753,0.05127761437978639,0.002388473264294373,NA,21,26,26,5.7730940827172995e-05,9.968039599824979e-06,-4.417865542580445
ENSG00000172650.13,AGAP5,-1.741910977306282,-0.1986808762936812,0.08152402281954194,0.011038942399994119,0.059777364082125674,0.0012110839704733715,NA,14,16,16,3.607072496939363e-05,1.0319140108450274e-05,-4.41037575325915
ENSG00000228049.7,POLR2J2,2.2864114991112348,0.09740666496064304,0.022230196238194624,0.04458257243569427,0.15576923632116144,9.6769015372637e-08,NA,29,42,42,1.794500896512814e-05,1.1174815319983484e-05,4.393095218678945
ENSG00000260274.1,RP11-817O13.8,-1.496277921534758,-0.13181546618864803,0.13458124610505337,0.022261628244109856,0.09748554709939697,2.0416283341385503e-05,NA,64,76,76,5.051851367498467e-05,1.174463371629005e-05,-4.382275176546186
ENSG00000278730.1,RP11-147L13.11,-2.0308348858115632,-0.14505682134063388,0.04227174686087703,0.01790576521565849,0.14096230977513471,4.5663516224974366e-07,NA,11,14,14,2.4083085786916402e-05,1.2914308245929006e-05,-4.361552019631122
ENSG00000108557.18,RAI1,-1.1122257502353654,-0.4167940961760607,0.2660410989752078,0.0021846212233319513,0.04287927023757144,0.0073048254342574625,NA,6,8,8,9.581614925268e-05,1.2960008004029293e-05,-4.360779226475864
ENSG00000204538.3,PSORS1C2,0.8029079556156603,0.10440117495756351,0.4220279374161672,0.04003886934887003,0.11495300935040782,5.350958364343014e-06,NA,33,41,41,0.00018991027118814413,1.3011505787749717e-05,4.359911496900207
ENSG00000213676.10,ATF6B,0.8899919278885845,0.152728610356874,0.3734702204489144,0.015120343103455869,0.2434776019214028,3.965549333712731e-12,NA,11,13,13,0.00015201739358944996,1.4113672325808908e-05,4.342085284338142
ENSG00000172543.7,CTSW,-1.6112870060809465,-0.10217922791191411,0.10711718156945513,0.03578211304384466,0.3240997071553641,7.576897712451161e-17,NA,14,20,20,4.1424729417663235e-05,1.507080444050614e-05,-4.327650965614109
ENSG00000245937.7,LINC01184,1.907080828090132,0.07812186210878413,0.0565101214952959,0.057673583686218485,0.2599097276042187,5.886542392142386e-13,NA,31,38,38,2.7658238587894035e-05,1.5093193044152367e-05,4.327323899675366
ENSG00000135124.14,P2RX4,2.3802648379974602,0.17658852037676373,0.017300199360692107,0.011266586108355021,0.08979733442251119,5.977238799609618e-05,NA,26,31,31,1.5357140996107976e-05,1.5163156828927683e-05,4.32630480059149
ENSG00000075413.17,MARK3,-1.4189938806216338,-0.22288565725871143,0.15590080012592358,0.007048771415573803,0.028753911048545883,0.02626336953315954,NA,37,45,45,5.5127083604121906e-05,1.5592597071379584e-05,-4.320146046695709
ENSG00000169592.14,INO80E,-1.2763185363961516,-0.3059663226407159,0.20184294021254368,0.003542708829071173,0.18075077439774967,5.7452446753024455e-09,NA,11,15,15,6.945484829335425e-05,1.6120645659924446e-05,-4.312791051334282
ENSG00000069275.12,NUCKS1,2.4245719928056997,0.46102247852447037,0.01532644414665539,0.0017237962010332242,0.04187212560361051,0.00765276567960738,NA,6,6,6,1.4176113254507724e-05,1.8106166010944157e-05,4.2870498653911335
ENSG00000104447.12,TRPS1,1.3158877628814418,0.22384005719773298,0.18821171659611902,0.008515460517231644,0.028098086644291087,0.030614587722702376,NA,8,8,8,6.407147203605639e-05,1.816032146771171e-05,4.286386138929359
ENSG00000148396.18,SEC16A,1.676085629880775,0.37496894899997624,0.09372142107461888,0.0029938170717292933,0.14570993672400048,1.7444828001466956e-07,NA,8,9,9,3.6872282292456116e-05,1.8412276406919172e-05,4.283322776555559
ENSG00000198040.10,ZNF84,1.8385141867000976,0.772542894799966,0.06598667332955338,0.0006015423106484301,0.09774585736306113,2.741941141287089e-05,NA,12,24,24,2.9409224905444267e-05,1.8958046825021718e-05,4.276821763479075
ENSG00000183682.7,BMP8A,2.0875936834812627,0.18937490117562758,0.03683450227534023,0.009246950942064035,0.06550989875443539,0.0008089998427843314,NA,30,33,33,2.0736225670014074e-05,2.311796586353139e-05,4.232430212406919
ENSG00000187122.16,SLIT1,1.4209699991042917,0.18088531139899378,0.15532548134123356,0.012341186991841651,0.023551122022346712,0.045651448548385536,NA,23,25,25,5.2342507630909145e-05,2.3623380529659782e-05,4.227565130755081
ENSG00000243708.10,PLA2G4B,1.674516533208482,0.24338702430803316,0.09402912786201387,0.006242587749830415,0.0942542902843111,2.3634538409288532e-05,NA,26,32,32,3.5238641614100056e-05,2.6897074696073667e-05,4.198262496437474
ENSG00000136485.14,DCAF7,-1.436362892032236,-0.5527284837834462,0.15089910652248098,0.0013766214328972065,0.0255277807241321,0.0376858542013146,NA,38,43,43,5.010305339432564e-05,2.7713137363959336e-05,-4.191487570215198
