gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000153814.11,JAZF1,-6.918231132276092,-0.487300462803398,4.573177361195335e-12,0.0165721424840334,0.10669098520481002,3.4743692342769273e-16,NA,24,26,26,2.0946098842564056e-05,5.0572058800932084e-45,-14.079772879893435
ENSG00000109501.13,WFS1,4.942735504558406,0.4686167552721719,7.703396300849798e-07,0.013252768017952193,0.13578625729209434,2.0516721823141917e-20,NA,16,18,18,3.2583338401432435e-05,3.8599629367648734e-33,11.99313878121621
ENSG00000029534.19,ANK1,5.784849733181232,1.0581301682020248,7.257717756756658e-09,0.0025507898479189776,0.09336734081495633,4.6235781163978916e-14,NA,6,6,6,2.0018990358282382e-05,5.593664505270733e-31,11.573818347028768
ENSG00000237541.3,HLA-DQA2,1.7884716906851685,0.11973621120330794,0.07369993901273549,0.1308202002479906,0.6616198680400581,5.754535057308261e-162,NA,31,41,41,0.0001785946940474997,4.179349441716533e-21,9.428011953722248
ENSG00000090621.13,PABPC4,-3.0705548641404428,-0.5263758720053597,0.002136614277010481,0.006418386928261282,0.07443424963142864,1.9620122536210134e-11,NA,12,14,14,5.3674449122673704e-05,2.5158707565722402e-20,-9.237812848819987
ENSG00000140382.14,HMG20A,2.879587939950729,1.5056871995748857,0.003981952294863153,0.0007214757427910288,0.0213061186953601,0.0004172756117927332,NA,5,5,5,5.5724073064537904e-05,1.2605187204260579e-18,8.809191335711473
ENSG00000196126.11,HLA-DRB1,-1.653184561253848,-0.3614215749234655,0.09829330757359268,0.012830306628825072,0.24078586093550444,1.2242774502080275e-37,NA,19,25,25,0.00016261047828561323,8.056603919518094e-17,-8.330405327956617
ENSG00000258053.1,CTD-2021H9.3,2.7099539279592393,0.17657013784380465,0.006729255473153672,0.0445520716576916,0.11703690932717215,1.0417704553774964e-17,NA,43,47,47,5.199527785488609e-05,9.079734993637916e-16,8.03869894682014
ENSG00000157823.16,AP3S2,4.312307561443534,0.61512956580972,1.6155948158546184e-05,0.003483070193819696,0.07767487361739987,2.2413692124910683e-12,NA,26,29,29,1.6377101552331983e-05,1.0803040328575347e-15,8.017373322204259
ENSG00000140718.20,FTO,4.712564740531637,0.3648912285949591,2.4461832763478403e-06,0.009622064818917276,0.12998234850367424,1.2050529521517572e-19,NA,68,79,79,1.22818075302548e-05,1.9430029649433626e-15,7.944930114331022
ENSG00000011523.13,CEP68,3.0661424491460245,0.2522274276240854,0.0021683998075126597,0.020267006500031867,0.19349605667725975,7.183470600604587e-30,NA,8,9,9,3.783783279901757e-05,2.3354616030482883e-15,7.922092659905557
ENSG00000009335.17,UBE3C,-2.9685082757526717,-2.1812722011818857,0.002992490439358992,0.00025309802569433354,0.016356207102599066,0.0020208763607081526,NA,22,26,26,3.7187734781100556e-05,2.665493111985598e-14,-7.61360755877647
ENSG00000159199.13,ATP5G1,2.2924001704354815,0.5980005532710108,0.02188256220484937,0.003193311480758326,0.16246064240664018,5.335828337852385e-25,NA,12,15,15,6.683714845126401e-05,2.701714324468319e-14,7.611863683893393
ENSG00000206344.7,HCG27,1.436804385383386,0.26011030726189316,0.15077358398289492,0.01655163017885597,0.2011697740100737,6.035845737048316e-32,NA,29,40,40,0.0001731852881808318,8.471333779199871e-14,7.462783724340262
ENSG00000179115.10,FARSA,-3.02035442055281,-0.4028864115800076,0.002524790498515101,0.006214633720107145,0.18415115363940968,2.9621824484384315e-29,NA,23,30,30,2.9018067035917862e-05,2.7909238671913405e-12,-6.987869203748177
ENSG00000149084.12,HSD17B12,-2.540684662396875,-0.12729500372227712,0.01106356526307567,0.0597462428884485,0.3827241231643391,6.681843166851929e-68,NA,76,89,89,4.295875602591751e-05,4.154028144616013e-12,-6.931839601539252
ENSG00000198502.5,HLA-DRB5,-1.1919024487323666,-0.07918417882508379,0.23329949792016036,0.14440064503744937,0.6945482099225015,3.1794792213472437e-180,NA,47,55,55,0.0002154590289524055,5.98705093235864e-12,-6.879957286733937
ENSG00000109332.19,UBE2D3,1.4769560821362189,0.8034573344510337,0.13968741014717773,0.001410171125735836,0.06762902287535855,1.637258460389384e-10,NA,13,15,15,0.00013135296349376925,1.8144750154501286e-11,6.720222320862404
ENSG00000141699.10,FAM134C,2.41606323687199,0.44038510548634335,0.015689336283195982,0.0046076967323472285,0.04496109722472565,2.336543219967549e-07,NA,13,17,17,4.376483211828832e-05,3.029060535217982e-11,6.645151156866226
ENSG00000196735.11,HLA-DQA1,-1.3366730052867506,-0.17155257136565985,0.18132939720070296,0.033134666704607796,0.19766824340897315,2.7564069146140832e-30,NA,18,21,21,0.00015748075980773554,3.2968687075751645e-11,-6.632661690672232
ENSG00000115241.10,PPM1G,-1.6854045394563302,-0.7892617722928914,0.09191054842802651,0.0014824604966071622,0.039142945747558375,1.5837886876642446e-06,NA,16,18,18,9.595154874503483e-05,3.780257276070536e-11,-6.6124441621519425
ENSG00000145730.20,PAM,1.7898378813970095,1.8364525952946849,0.07347997740120907,0.00024161951725194437,0.038087163013037564,2.343960452518413e-06,NA,8,12,12,8.365209424558004e-05,4.460311306449553e-11,6.587919906103742
ENSG00000159202.17,UBE2Z,2.23441991946459,0.3311727061112959,0.02545545625369269,0.007403380454520398,0.09634466585748852,1.457734065872559e-14,NA,21,23,23,5.026911543824061e-05,6.583648922353717e-11,6.5298479590069824
