gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,phi,uncalibrated_pvalue,uncalibrated_zscore
ENSG00000153814.11,JAZF1,-6.518373016361585,-0.2698782320413247,7.107406859920661e-11,0.04629793909280168,0.25169256928131,5.965937755353213e-17,NA,25,28,28,2.0217722484781186e-05,3.763121327379175e-39,-13.089857708166596
ENSG00000180176.14,TH,-6.422528507049908,-0.42548006052837084,1.3402913995512966e-10,0.011343133174807271,0.08007885452366957,6.9870353146052366e-06,NA,7,7,7,8.399953967436052e-06,4.674166926676567e-22,-9.655162704959439
ENSG00000237541.3,HLA-DQA2,1.686278418157311,0.1750179518109291,0.09174218590324837,0.061899167993672885,0.49154551863418794,1.1673939675469319e-39,NA,27,36,36,0.00018968052024651843,5.620355033465404e-20,9.151393985618917
ENSG00000157823.16,AP3S2,4.906792087222947,0.15261834132060428,9.257807923379066e-07,0.06913649291191006,0.5482461283608284,2.0046055022109602e-47,NA,14,15,15,1.5826816684660115e-05,2.0040904434457207e-19,9.013047162974518
ENSG00000204314.10,PRRT1,1.3559743056127558,0.5595930591177323,0.1751073434592112,0.004125487740611754,0.0404119532576064,0.0019819312379702448,NA,17,19,19,0.00025050600281670656,3.704630171654132e-17,8.421888670209386
ENSG00000011523.13,CEP68,3.1904663869873624,0.24728879976463017,0.0014204336309481583,0.02161752885792438,0.1778834412943094,3.085396999448481e-12,NA,11,11,11,3.5490054151673455e-05,1.0324892010459512e-15,8.022933895498374
ENSG00000177508.11,IRX3,4.1071531648031145,0.11159524585550239,4.005656206938184e-05,0.0889472985765992,0.1863557498440119,5.397846026760557e-13,NA,69,79,79,1.72592150957786e-05,7.210561326153459e-15,7.780732857689133
ENSG00000159210.9,SNF8,2.2768743837170025,0.7203621297023823,0.02279372799038266,0.002458195247502123,0.05295103604168238,0.0003314406040331233,NA,5,6,6,6.2813887729107e-05,1.9748037938717141e-13,7.350490795876606
ENSG00000184281.14,TSSC4,5.2197337890618165,0.6276853572621867,1.7918049772527696e-07,0.0022373428193772906,0.02673287606717131,0.011127207750200744,NA,7,12,12,6.452702337615731e-06,2.4366642601815656e-13,7.32234955532169
ENSG00000179344.16,HLA-DQB1,-1.4246263698790216,-0.14366537667455861,0.15426523323319166,0.05309362732437892,0.5403502823579966,9.18387547413204e-46,NA,32,41,41,0.00016915901681720187,2.550210957803481e-13,-7.3162370022553675
ENSG00000196126.11,HLA-DRB1,-1.223624801728087,-0.2071433167782569,0.22109379902758763,0.026513680202143418,0.16983678639964644,1.7921537376279685e-11,NA,39,44,44,0.00022888878612147142,3.5041949311013263e-13,-7.273450401555154
ENSG00000149084.12,HSD17B12,-2.4971657943999666,-0.13606815339522257,0.012519040965387675,0.05807733756069526,0.3854057066628273,4.328290416924828e-28,NA,56,66,66,4.8911984026708675e-05,5.58718344905745e-13,-7.21019493494688
ENSG00000160949.16,TONSL,2.966046973220946,0.9470103332700395,0.0030165441275577807,0.0013027739004594905,0.1041240151573502,2.159021923809811e-07,NA,10,14,14,3.268174757622395e-05,5.766844692241303e-13,7.205884082943704
