PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.HES4.wgt.RDat	HES4	1	934342	935552	0.20260	rs6687776	  3.18	rs7553429	 0.056904	  8.58	 1.91204	 97	 34	enet	0.11	2.2e-34	 0.8918	3.72e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.ISG15.wgt.RDat	ISG15	1	948803	949920	0.02463	rs6687776	  3.18	rs6689813	-0.000790	 -2.95	-2.54819	 98	 38	enet	0.013	3.4e-05	-0.2045	8.38e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.SDF4.wgt.RDat	SDF4	1	1152288	1167411	0.02671	rs6687776	  3.18	rs11466691	 0.008556	 -4.79	-1.11382	122	122	bslmm	0.015	7e-06	 1.0933	2.74e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.SCNN1D.wgt.RDat	SCNN1D	1	1215816	1227409	0.03590	rs6687776	  3.18	rs2291889	 0.019603	 -5.68	-0.61137	137	  1	top1	0.02	3.5e-07	 0.6114	5.41e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.PUSL1.wgt.RDat	PUSL1	1	1243947	1247057	0.02166	rs6687776	  3.18	rs3934834	-0.000475	 -3.44	 1.23158	139	139	blup	0.008	0.00086	-2.8333	4.61e-03
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.MRPL20.wgt.RDat	MRPL20	1	1337288	1342693	0.02248	rs6687776	  3.18	rs2649588	 0.016226	  4.86	-2.28788	165	 12	enet	0.019	5.7e-07	-1.5345	1.25e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.SSU72.wgt.RDat	SSU72	1	1477053	1510249	0.15193	rs6687776	  3.18	rs7519837	 0.182560	 15.40	 0.17568	197	  7	lasso	0.2	6.8e-64	 0.1290	8.97e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.NADK.wgt.RDat	NADK	1	1682671	1711896	0.03307	rs11588312	  3.13	rs7528894	 0.000574	 -3.58	 1.11392	223	 46	enet	0.0059	0.0036	-0.2783	7.81e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.RER1.wgt.RDat	RER1	1	2323267	2336883	0.01402	rs12743493	 -3.17	rs425277	-0.000760	  2.98	-1.47297	316	316	bslmm	0.0037	0.017	-0.5193	6.04e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.PLCH2.wgt.RDat	PLCH2	1	2357419	2436969	0.50056	rs12743493	 -3.17	rs4648843	 0.069566	  9.55	 0.05376	337	 79	enet	0.24	3.5e-76	 0.1728	8.63e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.MMEL1.wgt.RDat	MMEL1	1	2522078	2564481	0.04286	rs12743493	 -3.17	rs4648356	 0.052399	 -8.35	-0.11765	363	  4	lasso	0.054	4.6e-17	-0.0452	9.64e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.TPRG1L.wgt.RDat	TPRG1L	1	3541566	3546691	0.09320	rs2500277	 -3.49	rs4364818	 0.034099	 -6.66	 0.34328	412	412	bslmm	0.054	2.6e-17	-0.6750	5.00e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.LRRC47.wgt.RDat	LRRC47	1	3696784	3713068	0.32599	rs2500277	 -3.49	rs2799182	 0.304719	-19.65	-0.75385	433	433	bslmm	0.34	6.2e-118	 0.9539	3.40e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.NPHP4.wgt.RDat	NPHP4	1	5922871	6052533	0.02827	rs771073	 -3.17	rs806111	 0.014391	 -5.58	 1.38806	515	  5	lasso	0.015	6.7e-06	-1.4073	1.59e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.KCNAB2.wgt.RDat	KCNAB2	1	6051526	6161253	0.04245	rs4587589	  4.84	rs2312049	 0.027900	  6.17	 0.58823	509	509	bslmm	0.031	1.5e-10	-1.2246	2.21e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.ESPN.wgt.RDat	ESPN	1	6484848	6521430	0.21164	rs6577584	  5.15	rs12078257	 0.074725	 10.02	-0.00585	402	402	bslmm	0.13	6.9e-41	 0.8319	4.05e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.NOL9.wgt.RDat	NOL9	1	6581407	6614595	0.02559	rs6577584	  5.15	rs11122091	 0.018647	 -5.06	 1.49474	419	419	bslmm	0.02	3.4e-07	-1.9512	5.10e-02
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.PHF13.wgt.RDat	PHF13	1	6673745	6684093	0.04163	rs6577584	  5.15	rs7521134	 0.042199	 -7.85	 4.75000	425	425	bslmm	0.047	3e-15	-5.0623	4.14e-07
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.CAMTA1.wgt.RDat	CAMTA1	1	6845384	7829766	0.06563	rs6577584	  5.15	rs2051645	 0.029919	  7.57	 1.69014	869	  4	lasso	0.046	1.1e-14	 1.4450	1.48e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.VAMP3.wgt.RDat	VAMP3	1	7831329	7841492	0.11833	rs10864327	  3.61	rs17374439	 0.107947	 12.48	-0.29268	449	 20	enet	0.12	1.7e-38	-0.4658	6.41e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.PER3.wgt.RDat	PER3	1	7844380	7905237	0.02838	rs10864327	  3.61	rs4908686	 0.005595	 -4.96	 0.25000	459	 17	enet	0.017	1.6e-06	 0.2919	7.70e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.PARK7.wgt.RDat	PARK7	1	8014351	8045565	0.07712	rs10864327	  3.61	rs3766606	 0.111569	 11.99	-3.14286	415	  1	top1	0.11	1.6e-34	-3.1429	1.67e-03
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.RERE.wgt.RDat	RERE	1	8412457	8877702	0.08894	rs10864327	  3.61	rs301806	 0.153527	-13.99	 0.38461	521	  4	lasso	0.16	5.7e-49	-0.5585	5.77e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.ENO1.wgt.RDat	ENO1	1	8921061	8939308	0.06805	rs2268169	 -3.06	rs914994	 0.059283	 -9.02	 0.55073	385	  7	lasso	0.06	5.1e-19	-0.5544	5.79e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.SLC2A5.wgt.RDat	SLC2A5	1	9095166	9148537	0.06234	rs2268169	 -3.06	rs2505972	 0.040128	 -7.33	-0.40909	406	  5	lasso	0.041	3.1e-13	 0.6219	5.34e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.SPSB1.wgt.RDat	SPSB1	1	9352939	9429591	0.02791	rs10864436	  3.66	rs4465231	 0.031961	  6.53	-2.33333	425	  1	top1	0.032	9.4e-11	-2.3333	1.96e-02
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.RBP7.wgt.RDat	RBP7	1	10057264	10076078	0.08296	rs10864436	  3.66	rs1220421	 0.090151	-10.75	-1.30233	299	  1	top1	0.09	6.1e-28	 1.3023	1.93e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.UBE4B.wgt.RDat	UBE4B	1	10092890	10241297	0.02731	rs10864436	  3.66	rs7528979	 0.006366	 -5.29	-1.60465	373	373	bslmm	0.016	3.1e-06	 2.8776	4.01e-03
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.KIF1B.wgt.RDat	KIF1B	1	10270863	10441661	0.30048	rs10864436	  3.66	rs17400878	 0.257192	 18.05	 0.95790	402	 49	enet	0.29	7.8e-97	 1.3530	1.76e-01
NA	/workshop/data/FUSION/models/YFS_BLOOD_RNAARR//YFS.BLOOD.RNAARR/YFS.APITD1.wgt.RDat	APITD1	1	10490159	10512210	0.07529	rs7418410	 -3.63	rs2480782	 0.049786	  8.42	 0.19200	387	387	bslmm	0.071	4.7e-22	-0.6585	5.10e-01
