PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000188976.10.wgt.RDat	ENSG00000188976.10	1	959308	959309	0.2147	rs6687776	  3.180	rs3748595	 0.107999	  5.66	 1.2102	180	 19	enet	0.15	3.6e-10	  1.15827	2.47e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000187583.10.wgt.RDat	ENSG00000187583.10	1	966496	966497	0.1000	rs6687776	  3.180	rs604618	-0.004009	 -3.01	-1.2015	180	180	susie	0.0089	0.076	  0.34623	7.29e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000272512.1.wgt.RDat	ENSG00000272512.1	1	998050	998051	0.5506	rs6687776	  3.180	rs3128117	 0.391529	-10.00	-0.6901	183	  1	top1	0.39	4.9e-28	  0.69014	4.90e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000273443.1.wgt.RDat	ENSG00000273443.1	1	1063287	1063288	0.2294	rs6687776	  3.180	rs9442372	 0.156418	 -6.53	 0.0735	205	205	susie	0.16	3.6e-11	 -0.12335	9.02e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000131591.17.wgt.RDat	ENSG00000131591.17	1	1116360	1116361	0.1051	rs6687776	  3.180	rs4275402	-0.001403	 -3.78	-0.2895	215	215	susie	0.013	0.04	 -0.91489	3.60e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000127054.20.wgt.RDat	ENSG00000127054.20	1	1324690	1324691	0.2535	rs6687776	  3.180	rs2765021	 0.100828	  5.96	-2.2815	252	 35	enet	0.15	3.2e-10	 -3.00972	2.61e-03
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000242485.5.wgt.RDat	ENSG00000242485.5	1	1407312	1407313	0.2473	rs6687776	  3.180	rs35242196	 0.152516	  6.25	-0.7364	275	  1	top1	0.15	1.7e-10	 -0.73636	4.62e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000235098.8.wgt.RDat	ENSG00000235098.8	1	1421768	1421769	0.2102	rs6687776	  3.180	rs12089560	 0.120587	 -6.33	-1.5118	282	  2	lasso	0.13	5.9e-09	  1.47945	1.39e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000225905.1.wgt.RDat	ENSG00000225905.1	1	1422468	1422469	0.1967	rs6687776	  3.180	rs12089560	 0.114774	 -5.55	-1.5118	284	284	susie	0.18	4.6e-12	  0.98098	3.27e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000160072.19.wgt.RDat	ENSG00000160072.19	1	1471768	1471769	0.5984	rs6687776	  3.180	rs2031709	 0.274458	 -8.40	 0.4722	284	284	susie	0.28	3.4e-19	 -0.48985	6.24e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000197785.13.wgt.RDat	ENSG00000197785.13	1	1512150	1512151	0.2416	rs6687776	  3.180	rs819980	 0.055473	 -5.08	-0.8333	278	278	susie	0.058	8.9e-05	  0.84223	4.00e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000228594.3.wgt.RDat	ENSG00000228594.3	1	1600095	1600096	0.0961	rs3737722	 -2.970	rs3818646	 0.011560	 -4.07	 1.3203	281	  4	lasso	0.044	0.00057	 -0.34447	7.30e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000189339.11.wgt.RDat	ENSG00000189339.11	1	1692727	1692728	0.7307	rs3737722	 -2.970	rs4648786	 0.068400	 -6.05	-1.9302	305	305	susie	0.35	2.1e-24	  1.66237	9.64e-02
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000215914.4.wgt.RDat	ENSG00000215914.4	1	1699941	1699942	0.3115	rs3737722	 -2.970	rs7520934	 0.159974	 -6.95	-0.0533	301	301	susie	0.17	1.9e-11	  0.28457	7.76e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000008128.22.wgt.RDat	ENSG00000008128.22	1	1724323	1724324	0.3763	rs3737722	 -2.970	rs4074197	 0.103298	  5.15	-0.9737	293	  1	top1	0.1	1.8e-07	 -0.97368	3.30e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000227775.3.wgt.RDat	ENSG00000227775.3	1	1724511	1724512	0.6228	rs3737722	 -2.970	rs6699975	 0.047300	 -4.84	-0.3580	294	 71	enet	0.15	2.7e-10	  0.24252	8.08e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000215790.6.wgt.RDat	ENSG00000215790.6	1	1745991	1745992	0.7537	rs3737722	 -2.970	rs6699975	 0.197105	  7.03	-0.3580	290	 33	enet	0.28	6e-19	  0.74187	4.58e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000008130.15.wgt.RDat	ENSG00000008130.15	1	1780456	1780457	0.1311	rs11588312	  3.132	rs876029	 0.016397	  4.05	-0.7660	288	288	susie	0.044	0.00061	 -0.41986	6.75e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000231050.1.wgt.RDat	ENSG00000231050.1	1	1891470	1891471	0.2367	rs12743493	 -3.171	rs12044597	 0.117011	 -6.24	 0.5469	317	 16	enet	0.19	1.4e-12	 -0.96300	3.36e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000169885.9.wgt.RDat	ENSG00000169885.9	1	1914826	1914827	0.2201	rs12743493	 -3.171	rs10907194	 0.126079	  6.05	-0.0139	328	328	susie	0.14	1.2e-09	 -0.11036	9.12e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000178821.12.wgt.RDat	ENSG00000178821.12	1	1919272	1919273	0.0989	rs12743493	 -3.171	rs2474460	-0.003227	 -3.64	-0.6719	328	328	susie	0.0074	0.095	  0.70468	4.81e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000182873.5.wgt.RDat	ENSG00000182873.5	1	2184388	2184389	0.0903	rs12743493	 -3.171	rs10910029	 0.009226	  3.71	-0.3971	378	378	susie	0.026	0.0071	 -0.54580	5.85e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000162585.16.wgt.RDat	ENSG00000162585.16	1	2212719	2212720	0.3333	rs12743493	 -3.171	rs12403265	 0.003129	 -5.07	-0.4690	375	 34	enet	0.11	1.2e-07	 -0.33352	7.39e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000269896.2.wgt.RDat	ENSG00000269896.2	1	2352819	2352820	0.2235	rs12743493	 -3.171	rs2843160	 0.058282	  4.83	-1.2687	350	350	susie	0.12	2.9e-08	 -0.33622	7.37e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000116151.13.wgt.RDat	ENSG00000116151.13	1	2391706	2391707	0.4524	rs12743493	 -3.171	rs3795272	 0.257101	 -8.08	-0.8382	346	  5	lasso	0.27	2.8e-18	  0.47311	6.36e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000157873.17.wgt.RDat	ENSG00000157873.17	1	2556696	2556697	0.2081	rs12743493	 -3.171	rs2281852	 0.131257	  6.97	 0.1250	365	  4	lasso	0.17	2.1e-11	 -0.27853	7.81e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000238164.6.wgt.RDat	ENSG00000238164.6	1	2557030	2557031	0.1329	rs12743493	 -3.171	rs2377041	 0.056219	 -5.38	-0.1385	367	 21	enet	0.079	4.8e-06	 -0.25468	7.99e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000215912.12.wgt.RDat	ENSG00000215912.12	1	2801716	2801717	0.1209	rs4648377	 -2.962	rs4474198	 0.044115	  5.09	-0.6866	369	369	susie	0.1	2e-07	 -0.54460	5.86e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000078900.14.wgt.RDat	ENSG00000078900.14	1	3652519	3652520	0.4147	rs2500277	 -3.486	rs3765703	 0.391407	 -9.78	-0.7353	542	  2	lasso	0.4	2.3e-28	  0.70045	4.84e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000116213.15.wgt.RDat	ENSG00000116213.15	1	3652760	3652761	0.2957	rs2500277	 -3.486	rs12408890	 0.092761	 -5.73	 0.9296	542	  6	enet	0.1	3.1e-07	 -0.46703	6.40e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000116198.12.wgt.RDat	ENSG00000116198.12	1	3857213	3857214	0.4499	rs2493268	 -2.388	rs4507956	 0.343261	 -9.41	-0.5915	572	572	susie	0.36	2e-25	  0.53280	5.94e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000169598.15.wgt.RDat	ENSG00000169598.15	1	3857266	3857267	0.1296	rs2493268	 -2.388	rs4074709	 0.051203	 -5.12	 0.8788	572	 10	lasso	0.091	9.9e-07	 -0.49891	6.18e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000198912.10.wgt.RDat	ENSG00000198912.10	1	3900284	3900285	0.6562	rs12073612	 -2.333	rs7367066	 0.411183	-10.03	-0.3836	584	 20	enet	0.43	1.1e-31	  0.53899	5.90e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000069424.14.wgt.RDat	ENSG00000069424.14	1	5991465	5991466	0.2061	rs771073	 -3.165	rs11588889	 0.000438	  3.01	 0.9848	507	  1	top1	0.00044	0.29	  0.98485	3.25e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000226944.1.wgt.RDat	ENSG00000226944.1	1	6205779	6205780	0.2600	rs6577584	  5.149	rs4908864	 0.200420	  7.12	-0.3699	446	  1	top1	0.2	1.3e-13	 -0.36986	7.11e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000049245.12.wgt.RDat	ENSG00000049245.12	1	7771268	7771269	0.1727	rs10864327	  3.609	rs875994	 0.046900	  4.74	-0.1059	459	459	susie	0.068	2.4e-05	 -0.25736	7.97e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000116288.12.wgt.RDat	ENSG00000116288.12	1	7954290	7954291	0.2479	rs10864327	  3.609	rs226249	 0.204728	 -7.58	-0.3538	425	425	susie	0.21	1.5e-14	  0.36625	7.14e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000232912.5.wgt.RDat	ENSG00000232912.5	1	8424644	8424645	0.1195	rs10864327	  3.609	rs301819	 0.112179	 -5.58	 0.6154	303	  1	top1	0.11	5.3e-08	 -0.61538	5.38e-01
GTExv8.EUR.Pancreas	/workshop/data/FUSION/models/GTExv8_EUR_Pancreas/GTExv8.EUR.Pancreas/ENSG00000142599.17.wgt.RDat	ENSG00000142599.17	1	8817642	8817643	0.1945	rs2268169	 -3.062	rs301819	 0.069742	 -4.91	 0.6154	372	 20	enet	0.081	4e-06	 -0.96693	3.34e-01
